doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1002/smj.70121,Interface as a design choice: How the implementation of interfaces influences coordination and performance in modular systems,Daniel Albert; Martin Ganco,"Drexel University, Department of Management LeBow College of Business Philadelphia Pennsylvania USA; University of Wisconsin‐Madison Management and Human Resources, Wisconsin School of Business Madison Wisconsin USA","Abstract Research Summary Modular systems play a central role in technological innovation. Such systems emerge when interdependencies among modules in a complex system are isolated through interfaces. While early seminal work highlighted the importance of interface design, subsequent research on modularity has largely overlooked it. We develop a model that treats interfaces as a set of design choices, separate from module choices. This model elucidates the mechanisms through which interface design influences system performance and identifies novel strategies for sequencing the search of interface and module designers to improve outcomes. The framework has implications not only for standalone innovations but also for the design of standards in platforms and ecosystems. Ultimately, it demonstrates that interface design is as much a strategic challenge as it is a technical one. Managerial Summary Managers increasingly rely on modular designs to enable innovation, yet often overlook interfaces as a strategic lever. This study shows that actively designed and periodically updated interfaces can coordinate interdependencies without constraining decentralized search, enabling modular systems to approach the performance of integrated designs. Crucially, sequencing matters: allowing modules to evolve before introducing interfaces improves long‐run performance, as early experimentation generates knowledge that interfaces can later build upon. Finally, infrequent interface redesign is sufficient to sustain coordination, reducing the need for continuous adaptations. Overall, interfaces should be treated as evolving strategic choices that shape innovation trajectories in products, platforms, and ecosystems.",Strategic Management Journal,2026-09-02,journal-article,https://doi.org/10.1002/smj.70121,1097-0266,Strategic Management Journal,STRAT,Wiley-Blackwell,4*,4*,4*
10.5465/amj.2024.0689,Firm Speed and Environmental Accidents,Toby X. Li,Texas A&M University,,Academy of Management Journal,2026-09-02,journal-article,https://doi.org/10.5465/amj.2024.0689,1948-0989,Academy of Management Journal,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.1093/restud/rdag098,Equity Frictions and Firm Ownership,Alessandra Peter,New York University,"Abstract In this paper, I document systematic heterogeneity in ownership and financing of firms across Eurozone countries. To rationalize these differences, I build a quantitative general equilibrium model of workers and entrepreneurs who choose debt and equity financing of their firms, subject to rich country-specific financial frictions. The novel data on firm ownership and financing, combined with the structure of the model, allows me to quantify the level of debt and equity frictions in each country. Quantitatively, I find much larger output effects from equity frictions: harmonizing them across countries would lead to nearly four times larger output effects compared to debt frictions, and removing them would increase aggregate output by 73\% more. The larger impact on output is due not only to the estimated levels and dispersion of equity frictions but also to the greater risk sharing provided by equity, which further incentivizes entrepreneurs to expand their firms. Through their effect on risk sharing, equity frictions also rationalize the observed negative relationship between equity financing and wealth inequality. Quantitatively, they are responsible for over 70\% of the explained variation in top wealth shares across countries.",Review of Economic Studies,2026-09-03,journal-article,https://doi.org/10.1093/restud/rdag098,1467-937X,Review of Economic Studies,ECON,Oxford University Press,4*,4*,4*
10.1111/risa.70314,Assessing the Sensitivities of Input–Output Methods for Natural Hazard‐Induced Power Outage Macroeconomic Impacts,Matthew Sprintson; Edward J. Oughton,Geography and Geoinformation Sciences George Mason University Fairfax Virginia USA; Yale University New Haven Connecticut USA,"ABSTRACT Power outages are a substantial global issue across both advanced and developing countries, affecting economic productivity and growth. Consequently, numerous studies have examined the potential macroeconomic impacts of these disruptions, employing a wide variety of modeling methods and data parameterization techniques. A frequent approach is the use of input–output macroeconomic modeling, yet there is a lack of clarity about how ex ante parameterization and other methodological decisions affect output estimates, warranting further investigation. In this paper, we quantify the macroeconomic effects of three significant natural hazard US power outages: Hurricane Ian (2022), the 2021 Texas Blackouts, and Tropical Storm Isaias (2020). Our analysis evaluates the sensitivity of three commonly used data parameterization techniques (household interruptions, kWh lost, and satellite luminosity), along with three static models (Leontief and Ghosh, critical input, and inoperability input–output). We find the mean domestic loss estimates for these three blackout events to be $2.42 Bn, $3.24 Bn, and $2.27 Bn, respectively. However, data parameterization techniques can alter estimated losses by up to 52.8% of the mean. Consistent with the wide range of outputs, we find that risk analysis stemming from gross output estimate severity is highly sensitive to model architecture, data parameterization, and analyst assumptions. Results sensitivity is not uniform across models and arises from important a priori analyst decisions, demonstrated by data parameterization techniques yielding up to 55.9% differences from empircal results within a model. To our knowledge, we contribute to the literature the first systematic comparison of multiple IO models and parameterizations across several natural hazard long‐duration power outages, providing guidance and insights for analysts.",Risk Analysis,2026-09-02,journal-article,https://doi.org/10.1111/risa.70314,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1111/risa.70331,Lost in Projection: Uncertainty is Misrepresented in Climate Risk and Vulnerability Assessments,Patrick Curran; Kendrick Hardaway; Tom Logan,Civil and Environmental Engineering University of Canterbury Christchurch New Zealand; Biological and Agricultural Engineering University of Arkansas Fayetteville Arkansas USA; Urban Intelligence Christchurch New Zealand,"ABSTRACT In practice, many climate change risk assessments fail to capture the true depth of uncertainty. Despite widespread scientific recognition of deep uncertainty (large ranges of possibility) in climate conditions, this nuance is often lost in translation to policy and planning contexts; instead, conditions are presented as single projections. This means that communities are making large‐scale infrastructure investments and long‐term policy commitments based on false precision, leaving them unprepared for climate surprises or potentially wasting resources and disrupting communities unnecessarily by overadapting. To examine how climate uncertainties are represented and accounted for in adaptation planning, we conducted a structured review of 39 climate risk and vulnerability assessments from across the world, using sea level rise as a case study. These documents inform policy that guides billions of dollars in infrastructure investments and shape community preparedness strategies. Our analysis reveals that only 54% of these documents correctly represent sea level rise as deeply uncertain. This issue is compounded when making decisions; 71% of decisions were made by misapplying scenarios as individual projections to plan for, rather than as a tool for exploring potential future conditions, directly contradicting their intended use. This demonstrates a gap between scientific understanding of climate uncertainty and planning practice. Addressing this gap requires improved uncertainty communication, moving beyond just quantifying uncertainty to also characterizing uncertainty. This must be done in conjunction with the support of decision makers to incorporate a stronger understanding of uncertainty into planning by using tools designed specifically for decision making in deeply uncertain environments.",Risk Analysis,2026-09-02,journal-article,https://doi.org/10.1111/risa.70331,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1111/risa.70351,Risk Assessment in Peacekeeping: Are Visual Sparse Models Transparent?,Niklas Keller; Uwe Czienskowski; Harald Schaub; Konstantinos V. Katsikopoulos,"Harding Centre for Risk Literacy Berlin Germany; Centre for Adaptive Rationality Max Planck Institute for Human Development Berlin Germany; Department of Information Technologies Max Planck Institute for Human Development Berlin Germany; Department of General Psychology and Methodology University of Bamberg Bamberg Germany; IABG (Industrieanlagen‐Betriebsgesellschaft mbH) Ottobrunn Germany; Centre for Behavioural Experimental Action and Research, Department of Decision Analytics and Risk University of Southampton Business School Southampton UK","ABSTRACT Decision and risk analysis tools must be accurate and transparent. Classification trees, especially sparse ones, and other visual models, such as scorecards or risk tables, have been claimed to strike this balance. There is, however, little empirical evidence for the transparency of such models. We derive relevant hypotheses and test them in a controlled laboratory experiment with an ecologically valid, high‐risk, critical task: threat classification in peacekeeping. Three classification models are studied: a complete tree, a sparse (specifically, fast‐and‐frugal) tree, and a risk table. To focus on transparency, all three models make identical classifications and thus have equal accuracy. We assess and score three aspects of transparency for each model: time required to learn to a strict criterion, accuracy of application under time pressure, and accuracy in a delayed surprise memory recall test. In a between‐participants design, the fast‐and‐frugal tree is learned more quickly, applied more accurately, and recalled more accurately than the complete tree and the risk table; all statistical effect sizes are large. The recall accuracy of the fast‐and‐frugal tree is, in contrast to the other two models, robust to individual differences in statistical numeracy and risk literacy. In sum, the results of the experiment, together with reflection on limitations and challenges, plus theoretical arguments, suggest that sparse trees might serve as a reasonable benchmark and starting point for designing transparent support for risk assessment.",Risk Analysis,2026-09-03,journal-article,https://doi.org/10.1111/risa.70351,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1080/00343404.2026.2703746,"Transition without transformation: net-zero industrial policy, green path diversification and creation",Kyle S. Herman; Jeremy K. Hall; Benjamin K. Sovacool; Marfuga Iskandarova; Steven Griffiths,"Libera Università Internazionale degli Studi Sociali (LUISS); University of Sussex Business School, Science Policy Research Unit (SPRU); Aarhus University; Boston University, Institute for Global Sustainability (IGS); American University of Sharjah",,Regional Studies,2026-09-02,journal-article,https://doi.org/10.1080/00343404.2026.2703746,1360-0591,Regional Studies,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Taylor & Francis,4,4,3.0
10.1080/00343404.2026.2702579,Mission-oriented innovation policies in practice: comparative regional responses to Germany’s high-tech strategies,Linda Bandelow; Kashina Perlinger; Cindy Rentrop,"TUM School of Management, Technical University of Munich; Campus Straubing for Biotechnology and Sustainability, Technical University of Munich; Cambridge Centre for Environment, Energy and Natural Resource Governance, University of Cambridge; TUM School of Social Sciences and Technology, Technical University of Munich",,Regional Studies,2026-09-02,journal-article,https://doi.org/10.1080/00343404.2026.2702579,1360-0591,Regional Studies,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Taylor & Francis,4,4,3.0
10.1002/job.70127,Who Is to Blame? A Network Perspective on Workplace Injustice,Jeffrey J. Haynie; Bryan Fuller; Hettie A. Richardson; Christopher L. Martin; Pierre Andrieux,College of Business Administration Louisiana Tech University Ruston Louisiana USA; Neeley School of Business Texas Christian University Fort Worth Texas USA,"ABSTRACT Organizational justice research typically assumes that accountability for injustices is localized to the direct offender. Yet growing evidence suggests that blame can extend to indirect actors, calling into question such a narrowed view of injustice. By integrating fairness and power‐dependence theories, we develop a model of blame‐shifting to explain how victims can hold both coworkers (direct offenders) and supervisors (indirect offenders) accountable when coworker offenses arise. Across two studies, we theorize and test the mechanisms through which blame migrates from a direct offender to a background actor, highlighting the importance of power‐based network considerations for workplace injustices. In Study 1, event‐based data demonstrate that coworker injustice predicts supervisor injustice through the sequential mediation of coworker and supervisor blame. Study 2 constructively replicates this effect and tests boundary conditions involving formal (delegation‐based, vertical) and informal (status‐based, horizontal) power asymmetries. Results indicate that perceived intermediary delegation (PID)—the degree to which victims view coworkers as agents acting under supervisory authority—strengthens the blame migrating effect when victims concurrently hold lower relative statuses with their supervisors than their offending coworkers. Together, these findings suggest that accountability judgments arise within power‐laden networks rather than in isolated dyads. Such a network perspective offers a deeper understanding of accountability judgments thereby advancing justice theory and practice.",Journal of Organizational Behavior,2026-09-02,journal-article,https://doi.org/10.1002/job.70127,1099-1379,Journal of Organizational Behavior,PSYCH (WOP-OB),Wiley-Blackwell,4,4,4
10.1177/10944281261475596,"Can Generative Large Language Models Serve as Raters for Test Development? A Systematic Evaluation Across Tasks, Models, and Inference Configurations",Mina Son; Philseok Lee,George Mason University,"The present study investigates the effectiveness of generative large language models (LLMs) as raters across three common rating tasks: (a) social desirability ratings, (b) content validity ratings, and (c) trait importance ratings. Specifically, we examine reliability and validity of LLM-generated ratings across varying occupational contexts, rating methods, LLM families (i.e., GPT-4, GPT-5, and Sonnet 4.5), and inference configurations (i.e., prompt design and temperature settings). Results indicate that LLM ratings exhibit strong reliability and convergent validity in social desirability ratings across occupational contexts, as well as acceptable convergence with human ratings in Likert-type content validity evaluations. In contrast, reliability and convergent validity for trait importance ratings were inconsistent across occupational contexts. Variations in prompt design and temperature settings generally produced small to negligible effects on reliability and validity. Overall, the findings suggest that LLMs can function as effective supplementary raters in test development and validation processes, although greater caution is warranted for certain rating tasks. Practical implications and directions for future research are discussed.",Organizational Research Methods,2026-09-02,journal-article,https://doi.org/10.1177/10944281261475596,1552-7425,Organizational Research Methods,ORG STUD,SAGE,4,4,4
